Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
92,-48361.07,1.4036077737031907e+17,36.0,100.0
93,-50296.980000000105,2.2779514563868365e+17,66.0,100.0
94,-34036.189999999995,3.915505732807557e+17,34.0,100.0
95,-25801.72999999999,3.849132059141713e+17,36.0,100.0
96,-44050.05000000001,4.557079550581683e+17,82.0,100.0
97,-62430.74000000005,5.6896589308228966e+17,60.0,100.0
98,-38487.84000000003,5.35678981020522e+17,36.0,100.0
99,-40179.65000000002,8.93727578872076e+17,50.0,100.0
100,-33754.51000000001,1.1935085262090583e+18,44.0,100.0
101,-67566.20999999999,1.7826571112436204e+18,59.0,100.0
102,-67946.68000000001,1.9417693601980052e+18,50.0,100.0
103,-48430.50000000011,2.9710161181046953e+18,75.0,100.0
104,-68821.08999999998,3.98655986238338e+18,48.0,100.0
105,-38800.30000000003,5.666208297239102e+18,55.0,100.0
106,-75735.14999999988,8.236324325798322e+18,63.0,100.0
107,-36633.439999999966,9.842116739544263e+18,29.0,100.0
108,-30671.470000000027,1.320599942039354e+19,53.0,100.0
109,-40326.980000000076,1.6005214355400475e+19,44.0,100.0
110,-55167.81000000004,2.3499318294222455e+19,57.0,100.0
111,-46865.11,4.524118373043024e+19,24.0,100.0
112,-23899.17,2.5989212191769407e+19,29.0,100.0
113,-40015.11999999999,4.742060187378506e+19,26.0,100.0
114,-40260.55000000001,4.616373029160119e+19,36.0,100.0
115,-44373.730000000025,5.7462162880587874e+19,39.0,100.0
116,-57408.98,6.0002334598964535e+19,52.0,100.0
117,-50716.12999999999,1.0275385400563945e+20,76.0,100.0
118,-30979.79000000003,1.0864263594407112e+20,45.0,100.0
119,-32730.489999999994,1.6355876754494593e+20,49.0,100.0
120,-45807.16000000002,2.2994861649360903e+20,42.0,100.0
121,-41276.18000000007,2.3439000024174346e+20,55.0,100.0
122,-35261.639999999985,2.8769861234627825e+20,35.0,100.0
123,-49046.320000000094,5.3437914171370806e+20,65.0,100.0
124,-24378.610000000004,1.2282225197223953e+21,19.0,100.0
125,-69759.07999999999,8.196022230254769e+20,61.0,100.0
126,-37346.68000000003,7.972740036785118e+20,31.0,100.0
127,-49448.51000000001,1.2860579347923392e+21,46.0,100.0
128,-30990.73999999997,9.3467269115795e+20,37.0,100.0
129,-34111.68000000004,1.8153907859963928e+21,40.0,100.0
130,-43405.84,2.304112094837308e+21,35.0,100.0
131,-37623.99,1.7197732309814854e+21,39.0,100.0
132,-52932.21000000003,3.61651435183793e+21,35.0,100.0
133,-23288.899999999965,3.3326300132276594e+21,32.0,100.0
134,-41688.760000000024,4.759512669868656e+21,33.0,100.0
135,-45567.56000000001,3.928310227193825e+21,49.0,100.0
136,-42089.39000000005,7.542702015894394e+21,60.0,100.0
137,-25392.120000000003,1.7403667058608518e+22,52.0,100.0
138,-45069.71000000001,1.81233354449435e+22,31.0,100.0
139,-23781.28999999997,2.300785629515152e+22,58.0,100.0
140,-28261.179999999993,3.936832661732278e+22,35.0,100.0
141,-51856.81999999994,4.4115586885879975e+22,46.0,100.0
142,-35601.49,5.216995512401303e+22,46.0,100.0
143,-41845.54,7.647322652177686e+22,30.0,100.0
144,-48245.18000000001,8.431262715874195e+22,72.0,100.0
145,-51215.92000000008,9.710291376941889e+22,46.0,100.0
146,-52592.09,1.1096355075950832e+23,39.0,100.0
147,-38693.81000000002,1.3704174697462805e+23,47.0,100.0
148,-25975.150000000005,1.2380374818033783e+23,21.0,100.0
149,-38254.12,1.4296377886162186e+23,86.0,100.0
150,-41258.470000000045,1.5708035748107214e+23,50.0,100.0
151,-71964.50999999983,1.76291015461584e+23,87.0,99.5149
152,-46111.58000000001,1.9048579834722086e+23,38.0,100.0
153,-53081.640000000036,1.802929440228107e+23,40.0,100.0
154,-42828.69,2.00923154857122e+23,37.0,100.0
155,-45524.530000000006,2.029897894899495e+23,38.0,100.0
156,-35082.25000000002,2.193278923520431e+23,54.0,100.0
157,-56687.78000000002,2.150287028909025e+23,45.0,100.0
158,-37534.740000000034,2.0366009694301743e+23,37.0,100.0
159,-35755.790000000015,2.1877029828314823e+23,33.0,100.0
160,-34162.64999999997,2.0852878803873072e+23,41.0,100.0
161,-30796.430000000004,2.4597971804332187e+23,34.0,100.0
162,-40867.47000000004,2.29528210998146e+23,45.0,100.0
163,-40243.59000000001,2.5342955948316775e+23,31.0,100.0
164,-54233.60000000006,2.8344615678119982e+23,46.0,100.0
165,-23280.790000000008,2.522973034892583e+23,30.0,100.0
166,-43939.18000000001,2.4400397190983226e+23,36.0,100.0
167,-29404.069999999985,2.6393406148677964e+23,44.0,100.0
168,-31019.84,2.4881516206463718e+23,50.0,100.0
169,-60003.540000000045,2.8736085759337033e+23,42.0,100.0
170,-45238.77,3.1953160503023645e+23,38.0,100.0
