Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-68164.94875,0,22,100
1,-106995.0178,0,21,100
2,-140021.1589,0,23,100
3,-265430.2087,0,13,73.65
4,-198995.6914,0,20,100
5,-103558.7321,0,21,100
6,-32549.80662,0,23,100
7,-55796.38076,0,22,100
8,-77677.47352,0,24,100
9,-211117.3422,0,21,99.0199
10,-188949.7364,0,22,99.5149
11,-145576.055,0,23,100
12,-68509.44742,0,20,100
13,-71024.44589,0,23,100
14,-125958.5768,0,22,100
15,-63307.75144,0,21,100
16,-106980.5119,0,23,100
17,-98823.29293,0,20,100
18,-107293.1393,0,21,100
19,-86539.29147,0,24,100
20,-122596.6191,0,22,100
21,-55875.4245,0,21,100
22,-116100.9899,0,21,100
23,-70480.05926,0,23,100
24,-154970.3746,0,21,100
25,-79862.94526,0,21,100
26,-81565.26474,0,19,100
27,-92404.87531,0,21,100
28,-83514.44501,0,21,100
29,-81366.17788,0,22,100
30,-112214.8411,0,23,100
31,-82926.06796,0,22,100
32,-97910.99454,0,19,100
33,-110601.2208,0,21,100
34,-74421.75669,0,19,100
35,-97228.07238,0,20,100
36,-107046.605,0,20,100
37,-73283.0615,0,22,100
38,-92094.82236,0,19,100
39,-50920.74662,0,21,100
40,-92474.74198,0,23,100
41,-72459.00935,0,20,100
42,-168402.1535,0,21,100
43,-171944.6977,0,21,100
44,-47541.55713,0,20,100
45,-154171.5787,0,22,100
46,-124661.9717,0,20,100
47,-66871.01233,0,21,100
48,-77005.20296,0,20,100
49,-56121.95395,0,21,100
50,-123254.9681,0,19,100
51,-68760.42887,0,17,100
52,-117286.9968,0,18,100
53,-149870.7063,0,19,100
54,-63994.85713,0,21,100
55,-116896.7693,0,19,100
56,-90003.82032,0,21,100
57,-202221.3954,0,23,100
58,-127009.1785,0,21,100
59,-59260.22306,0,21,100
60,-110553.0735,0,18,100
61,-149714.4025,0,22,100
62,-117600.3178,0,17,100
63,-55468.39954,0,19,100
64,-83043.94383,0,20,100
65,-91040.44764,1.319122941,19,100
66,-39354.71971,1.274803939,20,100
67,-92804.49735,0.563071139,20,100
68,-55160.80748,0.472253349,24,100
69,-144925.2024,0.461114237,23,100
70,-147393.1346,0.452044118,23,100
71,-164558.2823,0.447188921,20,100
72,-120338.8855,0.448005982,20,100
73,-69314.19796,0.795151218,20,100
74,-121253.4204,0.622926763,19,100
75,-53651.35211,0.460133807,20,100
76,-44116.57964,0.414972129,21,100
77,-50268.72595,0.471544339,20,100
78,-93119.88837,0.44905997,20,100
79,-131625.0211,0.443238183,20,100
80,-92171.81721,0.441728765,22,100
81,-78396.03434,0.454266561,23,100
82,-40978.98656,0.473397438,21,100
83,-79745.14157,1.193218292,23,100
84,-70902.27852,1.576662164,21,100
85,-142080.0651,1.52860971,24,100
86,-53019.6402,1.509615754,22,100
87,-81274.34997,1.501520243,21,100
88,-51559.43804,1.508072214,20,100
89,-44706.05948,1.522917661,21,100
90,-76731.04935,1.551560609,22,100
91,-50898.50383,1.607916626,20,100
92,-89369.64746,1.628463868,24,100
93,-48940.7354,1.974301079,21,100
94,-63421.16008,1.96798431,21,100
95,-56085.92453,1.992116758,20,100
96,-92796.5343,2.005698936,21,100
97,-81340.24263,2.035747613,16,100
98,-71611.36729,2.026508707,20,100
99,-124493.0593,2.127735192,22,100
100,-90134.72822,2.109038166,21,100
101,-105038.5976,2.157474267,20,100
102,-88053.46359,2.125343527,21,100
