Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-17540.0344,0.0,23,100.0
1,-33800.080799999996,0.0,28,40.0
2,-23300.059100000006,0.0,24,100.0
3,-11400.0245,0.0,21,100.0
4,-18300.0412,0.0,24,100.0
5,-37200.0841,0.0,30,0.0
6,-39340.09029999999,0.0,30,60.0
7,-36800.08069999999,0.0,30,0.0
8,-33220.08860000002,0.0,26,60.0
9,-49780.11649999998,0.0,34,50.0
10,-12600.0236,0.0,20,100.0
11,-46780.1053,0.0,34,40.0
12,-35200.0809,401282.74125,28,0.0
13,-40100.098999999995,604877.50375,29,60.0
14,-19320.0459,610901.71875,23,100.0
15,-21130.044099999992,598199.6134868421,23,100.0
16,-43720.1077,581753.455,35,70.0
17,-32580.084400000007,603450.6125,27,90.0
18,-38840.095599999986,597187.41875,30,60.0
19,-6040.011200000001,606554.1614583334,14,100.0
20,-38720.094199999985,594101.04125,30,60.0
21,-17720.0426,599183.3548387097,24,100.0
22,-13860.0277,589418.4375,18,100.0
23,-10420.0281,585439.7410714285,21,100.0
24,-14270.0321,575582.8541666666,22,100.0
25,-12600.0297,571274.4176136364,22,100.0
26,-33140.08010000001,557656.3,27,60.0
27,-49320.11259999999,563379.1875,34,60.0
28,-46350.1141,587758.5075,32,50.0
29,-35900.09150000002,595462.6375,26,0.0
30,-42000.0944,594178.9825,31,20.0
31,-40040.10159999999,602705.86625,30,60.0
32,-9000.016099999999,611760.71875,15,100.0
33,-43460.10539999999,601440.53125,30,20.0
34,-34740.08669999999,608873.48125,30,70.0
35,-7720.0125,606908.0666666667,12,100.0
36,-41960.100999999995,603318.59375,32,20.0
37,-39450.0928,609353.7175,32,70.0
38,-11980.0224,615536.9346590909,19,100.0
39,-30600.050999999996,602914.00625,25,0.0
40,-36220.0848,598625.9425,31,20.0
41,-12040.0272,597269.1358695652,19,100.0
42,-38300.08639999999,598495.49375,29,0.0
43,-16000.0357,597052.2013888889,24,100.0
44,-39630.094600000004,590082.3675,31,10.0
45,-40280.096799999985,591625.46,31,20.0
46,-18060.039,594204.6796875,22,100.0
47,-40240.09859999998,588131.505,29,70.0
48,-44100.10079999998,593608.95,33,20.0
49,-20400.0409,597732.5535714285,20,100.0
50,-40700.09559999999,590614.45625,31,0.0
51,-38800.088800000005,597963.37875,28,0.0
52,-17860.0399,595882.615234375,22,100.0
53,-44290.10869999999,588070.35375,34,90.0
54,-15500.036199999997,592766.6071428572,21,100.0
55,-15660.0289,593271.9461206896,19,100.0
56,-38410.09449999999,591304.21625,31,70.0
57,-18040.0359,586752.576171875,23,100.0
58,-17100.043499999996,576003.3991935484,25,100.0
59,-38020.0926,577531.825,28,20.0
60,-34600.08020000001,573297.425625,26,0.0
61,-35000.082399999985,576086.955,26,0.0
62,-35000.075000000004,571559.03625,28,0.0
63,-12350.031599999998,571898.5208333334,23,100.0
64,-35860.08840000001,567814.7625,26,20.0
65,-36400.08039999999,562930.7825,30,0.0
66,-35900.0895,555228.808125,29,0.0
67,-41140.10029999999,552712.74,31,70.0
68,-14400.0307,560623.42625,20,100.0
69,-13230.0323,563361.54,23,100.0
70,-36400.083,555175.574375,29,0.0
71,-10620.0225,551361.878125,19,100.0
72,-42400.1019,555575.99,30,0.0
73,-41100.09699999998,548230.23375,30,0.0
